customer_id,current_balance,credit_limit,transaction_volume,payment_rate,interest_rate,age,monthly_income,balance_next_month
1,3807.947176588889,13330.981797737884,26.90886268985469,0.7054326947880082,16.439917565671855,68,14737.170543329636,9609.077534686257
2,9512.07163345817,29385.542632026118,25.450901108127983,0.8170132574722351,21.108646585999725,57,3911.8488965922115,6150.90052016551
3,7346.740023932911,44282.56261443837,90.71920347158263,0.3254211089132491,20.20321859580318,24,15965.790580454475,2871.5318799288316
4,6026.718993550662,37950.11988843025,25.705073785101103,0.662386689646299,8.077998093875474,49,16543.23190596234,10159.426710695847
5,1644.5845403801216,41295.25165376524,27.92302288673447,0.6145713848293738,7.984989394829478,65,15819.763118858078,8753.237435907648
6,1644.345751328406,34645.25150198228,76.18042797937841,0.849547339109444,10.363487354898266,36,4051.385968146341,11771.057975227333
7,675.0277604651747,36152.44540330336,45.52424440260346,0.9154783544331345,12.221494526820745,23,13590.343227219764,1952.7419132956018
8,8675.143843171858,43213.80432043937,77.89434513856294,0.11094109432964813,13.169111628169652,37,17017.846323489175,2785.408538319455
9,6051.038616257767,16235.060398663367,7.471249598874139,0.7066179271529134,18.593944336666905,44,12392.36122195402,2620.397983589882
10,7109.9185201808505,27024.123363941322,49.269548173665044,0.14665221920775612,6.133608643316708,70,13635.332754105602,9531.223234693907
11,303.7864935284442,14954.4248818821,4.327746418144981,0.5939727985696204,5.693454084521328,60,10250.542629673511,2324.196827756406
12,9702.107536403744,49445.060359849114,7.202667142080098,0.3588694561393104,12.83821125887818,54,11516.731757912947,893.2519748973425
13,8341.182143924176,47482.6702858976,90.73730788109668,0.3760989395699271,18.94327384275961,65,2618.7834503310537,11982.87359836898
14,2202.157195714934,6774.206511582765,14.78529174064192,0.4176626531071209,8.868706859129652,24,13501.334395519123,395.32481619727486
15,1900.067175350296,36750.882763205984,53.70964754524649,0.6591632041446491,17.830089625125034,76,3466.0498320408656,10039.4043158905
16,1915.704647548995,46636.17428370496,41.69846465746995,0.4006449691018923,10.196562758805989,22,9830.262698124021,4447.865414452768
17,3111.9982052994233,13125.890530730008,35.38698929962543,0.7594291455312524,22.721722176270326,28,7267.791758013341,10115.223971118001
18,5295.0886731591545,30557.535374868326,90.08350122303997,0.4640746470164827,22.91379888533233,32,11817.703103810836,6699.983845412626
19,4376.255684556946,46196.973391461885,3.160516280773461,0.16151788027896277,10.94574408562653,20,4401.494039417727,10829.411630887686
20,2983.168487960615,6527.569036360948,66.71517893138332,0.8053838582356965,9.59987507926481,75,14449.581235519727,11121.696538334058
21,6157.343657751557,36383.91202610779,96.37604898714149,0.35718249213343545,13.226079441324625,22,16310.207664712467,208.26835724123436
22,1480.989220455214,18380.705331764784,56.456650162722354,0.4894901916393364,9.810631703602974,40,4940.380095376817,997.4048943141804
23,2992.23202049866,46597.828791943866,93.74542374127608,0.7168994948997114,18.447676865834072,70,3877.635572333879,3079.26888189318
24,3726.9822486075477,48697.62103244155,6.173530049316353,0.3992105414338408,21.52129369096571,54,4619.278690172465,8064.8534547256695
25,4615.0928437486555,47491.99201010453,42.460538588341976,0.15092709053204406,18.46184261822434,26,17788.29611417303,10670.439138486921
26,7873.242017790834,26339.63974958587,26.755621305243064,0.4365289423115323,21.48700894498699,32,11507.40671161441,5573.309220398157
27,2076.7704433677613,43791.9192945191,73.35127553309225,0.9500037244248731,12.939843244149483,20,10410.697928135047,7322.980083663759
28,5190.9209402947545,43004.72293407817,98.14841195922742,0.6775609575687024,8.126339414177217,46,3920.812743842377,2343.1482482671777
